4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-----------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,formatos tabela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,RecDesp,VerificaCat,VerificaSub,ConsiderarBI,AnoDataaux,MesDataaux,Dataaux,Dataaux2,Data de Competência,Data de Vencimento,Centro de Custo,Cliente / Fornecedor,Instituição Financeira,Forma de Pagamento,Categoria,Subcategoria,Descrição,Valor,Data de Efetivação,Status,Nota Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Contas a receber,1,1,,2025,dez,12/1/2025,12/31/2025,12/31/2025,12/31/2025,BJL,,ITAU - Principal,Débito em conta,Receitas financeiras,Receitas financeiras,Lucro do ano anterior,"R$  36,431.17 ",12/31/2025, Concluído,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Contas a receber,1,1,,2026,jan,1/1/2026,1/1/2026,1/1/2026,1/1/2026,Serviço,Janaina (Mãe de Jhenniffer),ITAU - Principal,PIX,Receita com prestação de serviços,Parcela - Plan.,Parcela 1/10; Produção de uma cabeceira ,R$  280.00 ,1/1/2026, Concluído,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Contas a pagar,1,1,,2026,jan,1/1/2026,1/1/2026,12/4/2025,1/2/2026,Serviço,C H M MORAIS E CIA LTDA,ITAU - Principal,Boleto,Custo dos serviços,Compra de material,Parcela 1/3; Compra de material na C&D,R$  579.75 ,1/1/2026, Concluído,36659,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Contas a pagar,1,1,,2026,jan,1/1/2026,1/1/2026,12/4/2025,1/8/2026,Serviço,C H M MORAIS E CIA LTDA,ITAU - Principal,Boleto,Custo dos serviços,Compra de material,Parcela 1/3; Compra de Material C&D,R$  936.66 ,1/1/2026, Concluído,36694,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Contas a pagar,1,1,,2026,jan,1/1/2026,1/4/2026,12/5/2026,1/5/2026,Setor Administrativo,,ITAU - Principal,PIX,Despesas administrativas,Energia,"Conta de Energia - Referente ao Ms 1/2026 (Despesa recorrente)""",R$  310.27 ,1/4/2026, Concluído,,,,,,,,,,,,,,,,,,,,,,,,,,
